original_paragraph,transformed_paragraph,transformation_type,similarity_score,same_meaning
"The facilities team released an eco-friendly housing project with strong community support. The clinical team organized a clinical trial with measurable performance goals, and The health clinic scheduled a white paper with reliable tracking systems. The results improved overall performance.","The clinical team organized a clinical trial with measurable performance goals, and The health clinic scheduled a white paper with reliable tracking systems. The results improved overall performance. The facilities team released an eco-friendly housing project with strong community support.",sentence_reorder,0.313,True
The professor monitored a new campaign while meeting compliance standards. The research team organized the power lines with reliable tracking systems. The initiative delivered measurable benefits.,The professor monitored a new campaign while meeting compliance standards. The research team organized the power lines with reliable tracking systems. The initiative delivered measurable benefits.,paragraph_pronoun_change,1.0,True
"The The hotel manager prepared a new campaign with sustainability goals, and The development team approved the storefront layout through collaborative decision-making. Stakeholders praised the final delivery.","The The property manager prepared a new campaign with sustainability goals, and The engineering staff approved the storefront layout through collaborative decision-making. Stakeholders praised the final delivery.",phrase_level_rewrite,0.89,True
"The legal team emphasized the storefront layout with sustainability goals. The facilities team launched a research study supported by cross-functional teams, and The keynote speaker finalized an application upgrade while meeting compliance standards. Stakeholders praised the final delivery.","The legal team emphasized the storefront layout with sustainability goals. The facilities team launched a research study supported by cross-functional teams, and The keynote speaker finalized an application upgrade while meeting compliance standards. Stakeholders praised the final delivery.",human_like_rewrite,1.0,True
"The The automotive manufacturer released a leadership seminar with an expanded support network, and The facilities team introduced electric vehicles with a strong communications plan. Stakeholders praised the final delivery.","The The automotive manufacturer released a leadership seminar with an expanded support network, and The facilities team introduced electric vehicles with a strong communications plan. Stakeholders praised the final delivery.",formal_rewrite,1.0,True
"The The city council released a leadership seminar while preserving the budget, and The professor monitored the power lines to enhance public trust. Stakeholders praised the final delivery.","Stakeholders praised the final delivery. The The city council released a leadership seminar while preserving the budget, and The professor monitored the power lines to enhance public trust.",sentence_reorder,0.783,True
"The A university research group completed a leadership seminar with strong community support, and A university research group coordinated a research study after careful review. The initiative delivered measurable benefits.","The A university research group completed a leadership seminar with strong community support, and A university research group coordinated a research study after careful review. The initiative delivered measurable benefits.",paragraph_pronoun_change,1.0,True
The clinical team coordinated a leadership seminar with measurable performance goals. The professor finalized the acquisition documents with minimal disruption. The results improved overall performance.,The clinical team coordinated a leadership seminar with measurable performance goals. The professor finalized the acquisition documents with minimal disruption. The results improved overall performance.,phrase_level_rewrite,1.0,True
"The The logistics provider maintained the acquisition documents using local resources, and The hotel manager coordinated an eco-friendly housing project using data-driven analysis. The project demonstrated clear value.","The The logistics provider maintained the acquisition documents using local resources, and The hotel manager coordinated an eco-friendly housing project using data-driven analysis. The project demonstrated clear value.",human_like_rewrite,1.0,True
"During the policy rollout, The outreach team maintained a major report with strong community support. The editorial board organized a white paper using local resources. The effort strengthened long-term relationships.","During the policy rollout, The outreach team maintained a major report with strong community support. The editorial board organized a white paper using local resources. The effort strengthened long-term relationships.",formal_rewrite,1.0,True
